claimid,incident_date,claim_type,uninhabitable,claim_amount,fraudulent,policyid,policy_date,coverage,deductible,townsize,gender,dob,edcat,job_start_date,retire,income,marital,reside,occupancy_date,primary_residence
351069569,1/18/2008,3,0,192.287,0,SSB-514465,1/26/1987,436,2000,1,1,3/12/1943,2,4/16/1981,0,193,0,1,1/6/1978,1
806984053,7/18/2008,3,0,355.896,0,XWZ-702801,5/14/1983,925,1000,2,0,5/10/1933,2,11/4/1982,0,203,0,1,2/4/1971,1
654100160,3/1/2008,5,0,3.53,0,FMP-391297,1/15/1988,79,1000,1,1,4/2/1939,2,8/20/2004,0,49,0,1,3/30/1977,1
653220231,10/28/2008,1,0,33.452,0,WEV-471919,2/22/2000,607,1000,1,0,4/12/1972,3,7/29/1999,0,118,1,3,5/23/1993,1
226637568,5/31/2008,5,0,4.029,0,ESY-256692,8/9/2001,119,3000,5,1,8/4/1968,1,7/4/2004,0,18,0,1,9/4/2000,1
46113373,3/22/2008,4,0,66.358,0,NJF-209320,6/16/1994,144,500,2,0,9/24/1930,3,6/19/1969,1,25,1,2,4/5/1993,1
397237121,8/9/2008,1,0,29.391,0,RBC-327042,8/25/2006,636,1000,4,0,11/18/1982,4,11/27/2008,0,36,0,1,9/2/2003,1
917836504,11/2/2008,2,0,28.993,0,NFD-705036,5/12/1995,254,2000,1,1,6/18/1944,1,7/24/1988,1,13,1,2,8/17/1986,1
277901331,10/28/2008,4,0,128.315,0,OTS-825151,12/3/1978,291,1000,2,0,11/13/1948,4,9/17/1997,0,91,0,1,7/15/1968,1
16290780,1/8/2008,5,0,4.843,0,EEA-886708,2/10/2006,114,1000,5,1,6/24/1981,1,4/11/2005,0,23,1,4,12/2/2000,1
875862167,2/29/2008,5,0,32.442,0,CLY-407809,4/10/2005,548,2000,1,1,5/8/1980,2,11/22/2002,0,40,1,4,9/15/1999,1
458540387,9/14/2008,1,0,2.777,0,ATC-716797,11/19/1999,109,1000,5,1,8/23/1967,5,2/6/2004,0,62,1,2,8/12/1992,1
351399564,8/17/2008,2,0,20.313,0,YOH-544609,9/21/1967,226,500,2,0,11/29/1931,2,1/25/2006,1,28,1,2,8/2/1959,1
459501651,7/7/2008,2,0,25.878,0,NST-864719,6/21/1996,252,2000,3,1,3/9/1954,2,4/16/2001,0,48,1,3,1/4/1988,1
668190250,4/18/2008,5,1,114.465,0,YFA-510747,3/10/1984,668,3000,2,0,7/6/1943,2,6/25/1980,0,152,1,2,12/2/1979,1
744305352,9/7/2008,1,0,16.88,0,MRN-168607,4/28/1984,212,1000,3,1,1/20/1941,3,10/20/2004,0,62,1,2,7/19/1980,1
254000489,1/22/2008,1,0,48.509,0,NDI-583753,10/25/1991,1003,3000,3,1,11/10/1954,5,3/23/1996,0,160,1,4,7/22/1988,1
820842725,10/20/2008,1,0,2.291,0,YRF-282775,2/12/1987,64,1000,5,1,11/13/1933,5,12/5/2004,1,18,0,1,3/1/1979,1
75964807,5/10/2008,1,0,46.81,0,TBY-698704,4/7/2006,781,3000,4,1,5/31/1972,1,2/4/2004,0,32,1,4,9/26/2000,1
357706681,4/8/2008,3,0,58.756,0,YHC-910866,7/19/1991,141,3000,4,1,9/27/1948,2,11/18/1990,1,10,0,1,3/17/1982,1
730231371,7/18/2008,2,1,35.859,0,PXM-105817,8/17/1965,118,3000,1,0,12/2/1936,3,9/22/1999,1,22,1,2,1/18/1964,1
128692155,5/31/2008,1,0,6.067,0,OXD-685499,8/28/1999,120,1000,4,1,6/26/1971,2,9/11/2003,0,94,1,4,8/25/1995,1
437167544,4/8/2008,1,0,4.854,0,IJY-066227,5/22/2003,109,1000,4,0,8/24/1979,3,7/1/2007,0,27,0,1,4/15/1999,1
422812221,1/5/2008,1,0,21.087,0,JTH-252478,6/18/2006,364,500,1,1,11/6/1962,4,11/18/2001,0,102,0,1,3/24/2001,1
583979300,11/15/2008,2,0,9.5,0,HQX-401674,6/24/1998,74,1000,3,1,11/18/1972,5,1/21/2007,0,54,0,1,3/22/1996,1
890202230,2/10/2008,3,0,53.142,0,HQU-583590,3/21/1985,136,1000,3,0,5/12/1954,1,2/26/1998,0,62,1,3,3/31/1979,1
589037644,3/31/2008,2,0,36.872,0,JHI-844967,11/14/1988,352,3000,1,0,7/24/1965,2,1/27/1996,0,216,1,6,12/15/1986,1
